name,instruction,muscle_group,equipment,secondary_muscle_group,exercise_id,image_url
Lat Pulldown (Cable, Underhand),,lats,cable,"[""rear delts""]",17253df3-4776-4770-855f-b40d494144d3,
Lat Pulldown (Machine),,lats,machine,"[""rear delts""]",98ce2942-6207-4767-840f-340ebc1ca2c5,
Lat Pulldown (Plate-Loaded),,lats,plate-loaded,"[""rear delts""]",9226d79e-9980-4582-8f83-af78a57b8827,
Lat Pullover (Machine),,lats,machine,[],88476400-d03e-4b6f-8626-cff479d7e2f2,
Lat Pullover (Dumbbell),,lats,dumbbell,"[""chest""]",0612dce4-93b8-4dd4-ac65-102630f256cc,
Seated Lat Row (Cable),,lats,cable,"[""rear delts""]",7d4f6c75-fa58-4482-99ea-8640dc55919d,
Seated Lat Row (Machine),,lats,machine,"[""rear delts""]",76beca04-fc79-4e2e-abc2-76c1e2a260ec,
Seated Lat Row (Plate-Loaded),,lats,plate-loaded,"[""rear delts""]",8a8d8086-2222-4782-8c8e-683d1c5367c8,
Seated Upper Back Row (Cable),,traps,cable,"[""rear delts""]",2cb49200-630e-4cac-a818-09780675a1d7,
Seated Upper Back Row (Machine),,traps,machine,"[""rear delts""]",8e333251-07fb-41b4-bb97-bd376035ba0f,
Seated Upper Back Row (Plate-Loaded),,traps,plate-loaded,"[""rear delts""]",5cd39b7d-0368-4a83-a028-c36db25449da,
Incline Lat Row (Dumbbell),,lats,dumbbell,"[""rear delts""]",0bc95638-f74a-427b-b0bb-49995b744821,
Incline Upper Back Row (Dumbbell),,traps,dumbbell,"[""rear delts""]",9def9f02-ab35-45dc-a543-bd618457462a,
Chest-Supported Lat Row (Machine),,lats,machine,"[""rear delts""]",982e7271-2794-4e26-ae63-8c231735ac50,
Chest-Supported Upper Back Row (Machine),,traps,machine,"[""rear delts""]",20a211bb-2b1c-4163-b119-3616023cf8e5,
Chest-Supported Lat Row (Plate-Loaded),,lats,plate-loaded,"[""rear delts""]",a91b303c-3c0c-4c6d-9b51-ba7041d24b74,
Chest-Supported Upper Back Row (Plate-Loaded),,traps,plate-loaded,"[""rear delts""]",4bef1aaf-d073-49c2-920c-d28b8aa8c0c9,
Bent-Over Row (Barbell),,lats,barbell,"[""traps"", ""rear delts""]",4c6db357-cab9-4e7f-b5f0-d99f32cc9f36,
Bent-Over Row (Barbell, Underhand),,lats,barbell,"[""biceps""]",94c50d96-3423-43f6-9049-c15f21f60d83,
Bent-Over Row (Dumbbell),,lats,dumbbell,"[""rear delts""]",7828912a-3199-464d-92c2-0b22596ac673,
Bent-Over Row (Dumbbell, Unilateral),,lats,dumbbell,"[""rear delts""]",01d089fe-b906-422f-a360-b10901fbfb3f,
T-Bar Lat Row (Plate-Loaded),,lats,plate-loaded,"[""rear delts""]",2bc1045d-7a2c-4642-9181-16bb0f1c865e,
T-Bar Upper Back Row (Plate-Loaded),,traps,plate-loaded,"[""rear delts""]",de1c1e9c-6a07-4573-928b-efff159e4ded,
Pendlay Row (Barbell),,lats,barbell,"[""traps"", ""rear delts""]",dffe3119-4a1e-4446-b66f-6f1ed46587ab,
Meadows Row (Barbell),,lats,barbell,"[""traps"", ""rear delts""]",a704c9a1-4b7f-495d-a58d-b9ae96891de5,
Deadlift (Barbell),,erectors,barbell,"[""glutes"",""traps""]",97c4b84a-e4b3-459e-9890-3add197869df,
Romanian Deadlift (Barbell),,erectors,barbell,"[""glutes"", ""hamstrings""]",6635425a-71fd-4e75-993b-4a61f019cdaf,
Romanian Deadlift (Dumbbell),,erectors,dumbbell,"[""glutes"", ""hamstrings""]",5ee26c38-5f74-4c77-b058-6dcce5c93bb0,
Romanian Deadlift (Dumbbell, Unilateral),,erectors,dumbbell,"[""glutes"", ""hamstrings""]",3857b0db-4728-4d86-8160-7df1412aefc0,
Romanian Deadlift (Cable),,erectors,cable,"[""glutes"", ""hamstrings""]",38dc8b46-c3a4-41be-aa3b-83053a988716,
Sumo Deadlift (Barbell),,glutes,barbell,"[""adductors"", ""erectors""]",37d20f7c-bc29-4aa5-b57f-cfcb85f2684c,
Sumo Deadlift (Smith),,glutes,smith,"[""adductors"", ""erectors""]",f11e9610-090d-4865-9cf3-9a1303ff47d4,
Stiff-Leg Deadlift (Barbell),,erectors,barbell,"[""hamstrings"", ""glutes""]",123cd829-1b63-4d79-82a3-d37f6323a6df,
Trap Bar Deadlift (Barbell),,quads,barbell,"[""glutes"", ""erectors""]",43687dc3-22e2-46a3-a1df-a485201d101c,
